codigo_barras,nombre,descripcion,categoria,unidad_medida,es_granel,precio_venta,precio_compra,stock_inicial
0097339000054,Salsa Picante,,"Sauces chili, en:groceries",pieza,0,9.25,6.47,56
4008258442012,Trozos de jengibre confitado,Gingembre confit,"en:fruits-based-foods, Fruits confits, Fruits secs, Gingembre, Gingembre confit",pieza,0,20.0,14.0,17
0016000275263,Cheerios,Toasted Whole Grain Oat Cereal,Extruded cereals,pieza,0,25.0,17.5,15
8412600028568,Rebanada estilo artesano,,Sliced breads,pieza,0,50.0,35.0,67
0017077102322,Kefir,,"Yogurts, Kefir",pieza,0,23.65,16.55,69
8850389100684,Mogu Mogu Lychee,,"Fruit juices from concentrate, Lychees, Still fruit soft drink with sugar and with 10-50% of fruit juice, Sweetened beverages",pieza,0,9.6,6.72,62
5901234123457,Salsa de Chiltepin,,Huiles d'olive,pieza,0,4.75,3.32,26
0815074022809,Mayo (avocado oil),,"Mayonnaises, Mayonnaise-made-with-avocado-oil",pieza,0,23.65,16.55,61
0096619676811,Crema de Almendras,creamy almond butter.,Almond butters,pieza,0,19.12,13.38,13
0815074022915,100% Avocado Oil,,"fruits-based-foods, Avocados, Avocado oils",pieza,0,25.0,17.5,54
0072250037068,Honey Wheat Bread,,Wholemeal sliced breads,pieza,0,25.0,17.5,25
5014271390420,St Dalfour Mermelada de Frambuesa,Mermelada de frambuesa,Confitura,pieza,0,28.4,19.88,54
0034856008187,Fruit Snacks,,"Sweet snacks, Fruit Snacks",pieza,0,0.08,0.06,62
0096619885725,Extra Fancy Salted Mixed Nuts,,Mixed nuts,pieza,0,25.0,17.5,70
8000320010088,Pulpe de tomates,,"Purées, Tomato pulps, Tomato purées, Groceries",pieza,0,68.0,47.6,14
8412600100325,Pan de molde sin corteza,,Panes de molde,pieza,0,112.5,78.75,68
8008698005231,Chocolate O's,Gluten free cocoa sandwich cookies with milk cream filling. Specifically formulated for people intolerant to gluten.,"Chocolate biscuits, Chocolate sandwich cookies",pieza,0,4.95,3.46,68
7501030467090,pan Bimbo cero,,Panes de molde integrales,pieza,0,152.5,106.75,58
0096619533008,Bebida Sabor Vainilla Con 2% De Almendra Orgánica Ultrapasteurizada No Lácteo,Vanilla-flavored Almond Milk,Vanilla almond-based drinks,pieza,0,23.65,16.55,65
0894700010434,Greek Yogurt Whole Milk Plain,,"Greek-style yogurts, Whole milk yogurts, es:yogurt-de-leche-entera-estilo-griego",pieza,0,90.7,63.49,90
0024463061095,Sriracha Chili Sauce,,"Sriracha, en:Low sugar condiments, en:Vegan condiments",pieza,0,48.2,33.74,27
0658480001101,Salmas oven baked corn crackers,,"Biscuits, Crackers (Appetizers), Aperitivos, Botanas, Galleta-de-maíz-blanco-horneada, Snacks-salados",pieza,0,50.4,35.28,13
0013000001243,Tomato Ketchup,SALSA DE TOMATE KETCHUP,Kétchups,pieza,0,39.7,27.79,72
7500810022061,Pan integral de harina de trigo,,"Sliced breads, Wholemeal breads",pieza,0,155.0,108.5,86
75007614,Coca cola,Refresco sabor coca cola,"Bebidas de cola, Bebidas azucaradas",pieza,0,18.0,12.6,26
7500810029183,Pan Blanco,,"Pastries, Toasts, White breads, es:Pan-de-caja, es:Pan-para-sandwich",pieza,0,155.0,108.5,71
0014100085478,GOLDFISH,Baked Snack Crackers Cheddar,"Sweet snacks, Crackers (Appetizers)",pieza,0,0.66,0.46,68
7394376620867,No Sugars Oat Drink,,"Oat-based drinks, Oatmilk",pieza,0,0.03,0.02,63
0818290017734,20g Protein Zero Added Sugar Mixed Berry Vanilla,,Yogurt drinks,pieza,0,0.25,0.17,11
7501000131440,Cero cero multigrano,PAN MULTIGRANO,"Panes de molde con cereales, Panes integrales",pieza,0,61.0,42.7,64
0096619381555,Organic Blue Agave,,Agave syrups,pieza,0,25.0,17.5,89
3036810204014,Mostaza a la miel,,Moutardes au miel,pieza,0,25.0,17.5,37
6111021013307,Orange Jam,,"Confitures d'orange, Confitures de oranges",pieza,0,43.0,30.1,67
0072250020756,Perfectly Crafted Multigrain,Bread,"Sliced breads, Wheat bread flour",pieza,0,25.0,17.5,52
0633148100624,Tajín Clásico Salsa en polvo. Bajo en sodio,,"Hot sauces, Spice Mix, Groceries",pieza,0,14.2,9.94,16
0884912126115,GREAT GRAINS,"HOJUELAS DE CEREAL MULTIGRANO CON UVAS PASAS, DATILES Y NUECES","Mueslis, Crunchy cereal clusters, Oat",pieza,0,45.3,31.71,21
7501000375417,Oroweat granos enterps multigrano,Pan con granos enteros endulzado con azúcar mascabado y miel,"Panes, Pan de caja",pieza,0,68.0,47.6,27
0894700010052,Yogurt Chobani Arándanos azul,Greek Yogurt,"Fruit yogurts, Greek-style yogurts",pieza,0,25.0,17.5,71
0894700010014,Greek Yogurt Nonfat Plain,,Greek-style yogurts,pieza,0,25.0,17.5,51
0097339000030,Salsa Valentina,,"Hot sauces, Groceries",pieza,0,0.03,0.02,83
7501000111800,Pan Tostado Clásico,,Pan tostado,pieza,0,52.5,36.75,17
0025293002920,SILK - Bebida de Almendra s/azúcar,Bebida vegetal,"Leches de almendras, Vegano",pieza,0,23.65,16.55,94
0041790001600,Extra Virgin Olive Oil,,Extra-virgin olive oils,pieza,0,12.5,8.75,58
0049733091015,Cholula Salsa Picante,Salsa Picante Receta Original,"Salsas de chiles, en:groceries, Salsa picante",pieza,0,3.75,2.62,59
6111021013406,FIG JAM,,"Confitures de figues, en:Confitures de fruits",pieza,0,43.0,30.1,27
7501000375295,Oroweat 12 Granos,,"Multigrain sliced breads, Wholemeal breads, Cereal and odd bread",pieza,0,68.0,47.6,94
7506443101074,Griego OIKOS Selecto,,Yogures naturales,pieza,0,25.0,17.5,100
0884912126016,Crunchy Pecan Cereal,,Cereal flakes,pieza,0,45.3,31.71,79
7613032396350,Cortado Espresso Macchiato/Dolce Gusto,Lait entier en poudre avec café soluble,"Cafés solubles, Dosettes Dolce Gusto, Cafés en dosettes compatible Dolce Gusto",pieza,0,10.08,7.06,45
7501020515299,media crema,Media crema de leche de vaca ultrapasteurizada,"Lácteos, fr:Pâtes à tartiner, Crema",pieza,0,6.25,4.38,42
0072250020749,Thick Sliced White Bread,,White breads,pieza,0,0.55,0.39,70
0096619545346,Pistachios,"pistachios roasted and salted, natural opened.","Roasted pistachios, Salted pistachios",pieza,0,0.03,0.02,56
7501020540666,Nutri leche clásica,Producto lácteos con grasa vegetal ultra pasteurizada,"Bebida lácteas, Leches",pieza,0,26.0,18.2,79
5011038135904,kerrggola,,Beurres demi-sel,pieza,0,20.0,14.0,23
7501295600126,Leche Santa Clara Entera,,"Beverages, Whole milks",pieza,0,0.03,0.02,28
7506227346615,chip,,telefonía,pieza,0,25.0,17.5,49
8001250310125,Spaghetti numero 12 integrali,Pasta,"Pasta seca, Espaguetis de trigo duro, Pastas de trigo duro integrales o semi-integrales",pieza,0,50.0,35.0,72
7501020565911,Lala deslactosada,,Leche sin lactosa,pieza,0,0.03,0.02,73
0049508006008,Snack Factory Pretzel Crisps Original,crunchy pretzel crackers,Crackers (Appetizers),pieza,0,20.4,14.28,17
0037600105064,SKIPPY NATURAL,,"Vegetable fats, Peanut butters, Nut butters",pieza,0,1.5,1.05,55
0040600345002,BUTTER,,"Margarines, Butters",pieza,0,50.0,35.0,65
0789742895050,Nutella,Crema de Avellanas con Cacao,"Lácteos, Cremas de cacao y avellanas, Crema de avellanas",pieza,0,35.0,24.5,83
8001585008032,Mini rolls chocolate,Produit de pâtisserie au four fourré au chocolat,"biscuits, gâteaux, en:Biscuits et gâteaux, en:Gâteaux, en:Gâteaux au chocolat, en:Snacks sucrés",pieza,0,5.4,3.78,53
9002490200220,Red Bull Sugarfree,Bebida energética,"Bebidas carbonatadas, Bebidas endulzadas artificialmente, Bebidas energéticas, en:boissons-édulcorées, en:boissons-énergisantes",pieza,0,6.25,4.38,85
7501055901425,leche deslactosada,"Leche parcialmente descremada, deslactosada, ultrapasteurizada adicionadas con vitaminas A y D",Leche sin lactosa,pieza,0,26.0,18.2,76
0658480001262,Tostadas horneadas de maiz,,"Granos inflados, en:Corn flatbreads",pieza,0,21.6,15.12,82
0021136010541,Agua Mineral,,Aguas minerales,pieza,0,7.2,5.04,97
0041789001864,Maruchan habanero,,"Sopas, Fideos instantáneos, Pasta instantánea, Pasta de anchoas",pieza,0,6.4,4.48,57
7506475101158,Cheerios Avena y Más Granos,Cereal para desayuno,en:Extruded cereals,pieza,0,42.0,29.4,56
77940131,Turrón & Maní,oblea rellena con pasta de turrón y maní.,"Obleas rellenas, Turrónes blandos de cacahuete",pieza,0,2.5,1.75,16
7501045403144,Atún aleta amarilla en hojuelas en agua,,"Atun en conserva, Alimentos-conservados, Alimentos-enlatados, Atún en agua, Peces, Pescado-en-conserva",pieza,0,1.2,0.84,84
0029700001414,Mashed potatoes buttery homestyle,,"Meals, Mixed vegetables, Instant mashed potatoes, puré",pieza,0,0.14,0.1,98
0884912014283,Honey Bunches of Oats with Almonds Cereal,,"Mueslis, Honey cereal balls",pieza,0,25.0,17.5,52
3038351480100,Panzani Lasagne,,"Dry pastas, Durum wheat pasta",pieza,0,125.0,87.5,73
80051671,Nutella,,Cocoa and hazelnuts spreads,pieza,0,20.0,14.0,69
8410300349020,Caldo casero de pescado,,"en:Liquid fish broths, Caldo de pescado",pieza,0,0.03,0.02,59
7502252480928,Leche de almendras,Alimento líquido de almendra sin azúcar,Leches de almendras,pieza,0,24.6,17.22,59
0025293001503,Almond,,"Almond-based drinks, Fortified Almond Beverage",pieza,0,0.06,0.04,20
0097339000061,Salsa picante,,"Dips, Hot sauces, comestibles",pieza,0,0.31,0.22,88
0633148100556,Taijin Clásico Seasoning with Lime,,"Hot sauces, Spice Mix",pieza,0,40.0,28.0,96
0738545010481,Salsa Clasica,,Boissons,pieza,0,25.0,17.5,46
7501000112333,Pan Tostado,Pan tostado,Pan tostado,pieza,0,62.5,43.75,53
7501295600157,Leche deslactosada Semidescremada,Leche semidescremada deslactosada ultrapasteurizada adicionadas con vitaminas A y D,"Leche sin lactosa, Leche deslactosada",pieza,0,26.0,18.2,91
8410300349044,Caldo casero de carne,Caldo Casero de Carne,"Sopas, caldos, en:groceries",pieza,0,0.03,0.02,92
8412600009345,Natural 100%,Pan de molde de trigo,Panes de molde,pieza,0,46.0,32.2,37
7501011123588,doritos nacho,,Patatas fritas de maíz,pieza,0,6.1,4.27,95
7501040095177,Yogurt Griego sin azúcar añadida,,"Yogures naturales, Yogures estilo griego",pieza,0,0.1,0.07,28
6111021013604,Aicha Confiture De Pêches Extra 430 G,,Confitures de pêches,pieza,0,43.0,30.1,79
7500327047878,Rice cakes con quinoa,,"Tortitas de arroz, en:Rice cakes",pieza,0,14.0,9.8,65
5011038135911,Mantequilla pura de Irlanda,Mantequilla,Mantequila sin sal,pieza,0,20.0,14.0,81
7501517602174,Ghee Mantequilla Clarificada,,"Mantequillas, ghee",pieza,0,87.0,60.9,20
0850045609184,Orgánica Y Keto Crema De Cacahuate Crujiente,,en:Pure peanut butters,pieza,0,111.3,77.91,74
0016000506497,Brownie,,"Bars, Brownies, Protein bars",pieza,0,2.5,1.75,70
7501000375288,Pan Integral con Masa Madre,PAN DE HARINA DE TRIGO INTEGRAL CON UN TOQUE DE MIEL,"Panes de molde con cereales, Panes de molde integrales",pieza,0,170.0,119.0,40
7501086801046,Agua de litro epura,Agua purificada,"Bebidas, Aquas",pieza,0,0.01,0.01,37
0758104100422,BONAFONT Natural 1 L,Agua natural purificada,Aguas minerales,pieza,0,0.03,0.02,55
7501055310883,Ciel,Agua purificada,"Bebidas no alcohólicas, Aguas",pieza,0,0.03,0.02,91
7501030452553,Pan blanco artesenal,,Panes de molde,pieza,0,141.75,99.22,29
0073472002001,Ezekiel 4:9 Original Tortillas,,"Breads, Mexican Dinner Mixes, Tortillas",pieza,0,34.0,23.8,82
7501000111503,medias noches hotdog,PAN PARA HOT DOG'S,"Bolleria, Panecillos para perritos calientes",pieza,0,34.0,23.8,30
7501003340139,Mayonesa mccormick 390g,Mayonesa con jugo de limones,Mayonesas,pieza,0,39.0,27.3,85
7501020550986,Lala 100 sin lactosa,Leche deslactosada,Leche sin lactosa,pieza,0,0.03,0.02,70
7501030437390,Thins multigrano,PAN DE GRANOS ENTEROS,"Panes de molde con cereales, Panes integrales",pieza,0,25.5,17.85,88
8410179306148,Vinagre balsámico de módena,,Balsamic vinegars of Modena,pieza,0,6.25,4.38,78
7501003336125,McCormick Mermelada de Fresa,Mermelada de Fresa,Confitura,pieza,0,27.0,18.9,16
7501079702817,Puré De Tomate,PURE DE TOMATE CONDIMENTADO,"Puré, Salsas de tomate, en:Groceries",pieza,0,21.0,14.7,26
75002343,Aceite Vegetal Mixto,,Aceites de canola,pieza,0,0.03,0.02,75
0631656710496,Whey Protein,,"Protein powders, Whey protein",pieza,0,0.23,0.16,47
7501020550979,Leche fresca sin lactosa proteína light 1 l,"LECHE PARCIALMENTE DESCREMADA DESLACTOSADA ULTRAFILTRADA PASTEURIZADA, ADICIONADA CON VITAMINAS A Y D.  REDUCIDA EN GRASA.",en:Dairy by-products,pieza,0,26.0,18.2,12
7501020565928,Leche descremada deslactosada,,"Leche desnatada, Leche sin lactosa",pieza,0,26.0,18.2,10
7622210561558,Original Philadelphia,,Fromages à la crème,pieza,0,18.0,12.6,100
0049733830119,CHIPOTLE HOT SAUCE,Chipotle Hot Sauce,Hot sauces,pieza,0,3.75,2.62,18
0036200219317,SAUCE TOMATO & BASIL,,"Pasta sauces, Tomato sauces, Groceries",pieza,0,68.0,47.6,57
0632565000029,Fiji,,"Non-alcoholic beverages, Mineral waters",pieza,0,0.03,0.02,82
5601008101901,Cream Cracker,Bolacha Cream Cracker,en:Crackers (Appetizers),pieza,0,18.0,12.6,51
6111021013505,Crème d'ipomée,,"Confitures, en:Creme confiture d'ipomee",pieza,0,43.0,30.1,46
8001720021018,Panettone classico,,"Kuchen, Panettone",pieza,0,125.0,87.5,46
5014271330426,Wild Blueberry High Fruit Content Spread,Mermelada de moras salvaje,Mermeladas y confituras de frutas del bosque,pieza,0,28.4,19.88,34
7501052470085,ADEREZO RANCH,ADEREZO RANCH,"Aderezos para ensaladas, en:Groceries",pieza,0,5.93,4.15,62
7501040090028,Yoghurt Natural con endulzantes con probioticos,Yoghurt Natural,Yogures naturales,pieza,0,0.1,0.07,12
8000500220535,Nutella,,Cremas de cacao y avellanas,pieza,0,0.1,0.07,45
7501020561906,Crema lala original,Crema de leche original,"Leches, Quesos pasteurizados, Queso curado, Crema, Derivados de lácteos",pieza,0,10.65,7.46,36
0818290018304,Yogur,,Greek-style yogurts,pieza,0,25.0,17.5,82
7506475104722,La Lechera Original,,Condensed milks,pieza,0,9.75,6.82,79
7501055916016,crema alpura,,"Nata, Leches pasteurizadas, en:Lacteos",pieza,0,10.65,7.46,25
12112210,La lechera choco-avellana,,"Cremas de cacao y avellanas, Chocolate con leche y avellanas",pieza,0,8.45,5.91,87
8412170011434,Noglut María,"galletas maría, sin gluten.","Galletas sin gluten, Galletas maría",pieza,0,18.0,12.6,67
7500810028636,Cero Cero Multigrano,,"Panes blancos, Panes de molde con cereales",pieza,0,34.0,23.8,51
8412170026896,Pan Integral Dextrin Tradicional,pan integral de molde tostado dextrin tradicional.,"Pan tostado, Panes de molde integrales",pieza,0,75.0,52.5,11
0052603054454,CHICKEN BROTH ORGANIC,,Chicken broths,pieza,0,23.65,16.55,35
0073472001530,Flourless Sprouted Grain Bread,,"Frozen breads, Pre-baked breads, Multigrain sliced breads, Wheat breads",pieza,0,25.0,17.5,69
0077975087312,Pretzel Sticks,,Crackers (Appetizers),pieza,0,22.68,15.88,76
7501055349005,Leche deslactosada light,Leche descremada deslactosada ultrapasteurizada adicionada con vitaminas A y D,"Leches, Leches light",pieza,0,26.0,18.2,66
8000320110191,SUPERCIRIO,PURE DOBLE CONCENTRADO,"Puré, Salsas, en:groceries",pieza,0,14.0,9.8,44
8005121000085,Spaghetti Ristorante 8,pasta di semola di grano duro.,"Pasta secca, Spaghetti di grano duro, en:Italian pasta",pieza,0,50.0,35.0,70
7501055900039,Leche Ultra Pasteurizada Entera,"Leche parcialmente descremada, ultrapasteurizada adicionada con vitqaminas A y D",Leches,pieza,0,26.0,18.2,83
0041789001987,Instant Lunch Con Camarón y Chile Piquín,pasta de harina de trigo precocida con mezcla de condimentos deshidratados con camarón y chile piquín.,"Sopas deshidratadas, Sopas de fideos instantáneas, Pasta instantánea",pieza,0,6.4,4.48,91
7501055304745,Coca cola,Refresco sabor Cola,"Bebidas de cola, Bebidas azucaradas",pieza,0,0.09,0.06,36
0097339000214,Valentina Salsa Picante,,"Sauces chili, Sauce piquante",pieza,0,8.75,6.12,84
7501055310227,Coca-Cola 2.5L retornable,,"Bebidas de cola, Bebidas azucaradas, Ultraprocesado",pieza,0,0.07,0.05,68
7501001604103,Jugo sazonador,,Sazonador Liquido,pieza,0,2.5,1.75,41
7501058652683,CORN FLAKES,,Corn flakes,pieza,0,50.0,35.0,17
7501013106947,Jugo de naranja,,"Zumos de naranja con pulpa, Jugos",pieza,0,24.0,16.8,17
5000159461122,Snickers,Snickers,Candy chocolate bars,pieza,0,5.0,3.5,93
0012957100016,Salsa Huichol Picante,,"Hot sauces, Undefined, es:Salsa picante",pieza,0,0.16,0.11,57
0041449003153,Harina preparada completamente para hacer Hot Cakes,,"Pasteles, en:Baking Mixes, en:Pastry helpers, Mezcla para tortitas, Preparations-pour-desserts",pieza,0,0.45,0.32,73
0632565000012,Fiji,natural artesian water from the islands of fiji.,Natural mineral waters,pieza,0,12.5,8.75,10
7500810029954,Pan de Harina de Trigo Blanco,,Sliced breads,pieza,0,87.5,61.25,33
8410010272526,Aceite De Oliva Extra Virgen,,"Aceites de oliva virgen extra, A",pieza,0,25.0,17.5,24
0096619536740,Costco Water,,Waters,pieza,0,25.0,17.5,26
0021000052288,SALSA ORIGINAL BARBECUE,,"Barbecue sauces, Groceries",pieza,0,1.8,1.26,19
0041449001104,Complete pancake mix buttermilk,,"Cereal flours, Cake mixes, Pancake mixes, Pancakes, Soft cake filled with fruits",pieza,0,226.75,158.72,87
5000111001540,Lea & Perrins,,"Sauces Worcestershire, en:groceries",pieza,0,7.4,5.18,84
7501073830509,Agua mineral,,"Aguas carbonatadas, Aguas minerales naturales",pieza,0,7.2,5.04,74
7613031300655,NESTLE CHEERIOS Multigrain Cerealien,Frühstücks-Getreidekringel,"Stranggepresstes Getreide, en:frühstücke, en:frühstückscerealien, en:geröstete-getreidekost, en:pflanzliche-lebensmittel-und-getränke",pieza,0,37.5,26.25,46
8005121000276,Penne Ziti Rigate 27,pasta di semola di grano duro.,"Pasta secca, Pasta di grano duro, en:Italian pasta, Penne rigate",pieza,0,50.0,35.0,77
0608875006440,Tomate ketchup,SALSA DE TOMATE SIN AZUCAR,"Kétchups, en:groceries, CATSUP",pieza,0,36.9,25.83,90
0038000845246,Original,potato crisps,Stacked extruded potato crisps,pieza,0,25.0,17.5,85
7501003340122,Mayonesa Con Limón,,"Mayonesas, Bocadillo de huevo y verduras con mayonesa, en:groceries, Mayonesa con limón",pieza,0,19.0,13.3,49
0038000846731,Original,bocaditos a base de papa sabor original.,en:Stacked extruded potato crisps,pieza,0,3.7,2.59,83
7501055361540,Coca Cola Sabor Original,,"Bebidas de cola, Bebidas azucaradas",pieza,0,10.65,7.46,33
0808806886978,crema de cacahuate Mister,,"Mantecas de cacahuete, Mantecas de frutos de cáscara",pieza,0,25.0,17.5,81
7506443102392,Almendra sin azucar,,Leches de almendras,pieza,0,25.0,17.5,54
7501055356256,Coca-Cola chubby SA,,Bebidas de cola,pieza,0,18.0,12.6,65
7501006585216,Salsa catsup,,Salsas de tomate,pieza,0,90.0,63.0,55
7501040097911,"Skyr, Yoghurt griego batido natural",,"Plain yogurts, Greek-style yogurts",pieza,0,75.0,52.5,81
7501040095160,Griego sin azúcar añadida,,"Yaourts allégés en matière grasse, Yaourts à la grecque",pieza,0,75.0,52.5,26
7501055371655,Coca Cola,,"Bebidas endulzadas artificialmente, Bebidas de cola, Bebidas azucaradas",pieza,0,0.06,0.04,63
7501059224827,café 100% puro soluble Nescafé clásico,,"Cafés, Cafés solubles",pieza,0,20.0,14.0,38
8410300348955,Caldo para paella fácil de marisco,,"en:Liquid fish broths, en:Groceries",pieza,0,0.03,0.02,50
0633148100150,Tajín Clásico - Salsa en polvo,,"Especias, Salsas de chiles, Salsa-en-polvo",pieza,0,25.5,17.85,32
7500327047854,Brown Rice Cakes,Alimento saludable,"Galletas sin gluten, Tortitas de arroz",pieza,0,14.0,9.8,51
7500478043927,Botana crujiente a base de papa original,,en:Potato crisps with salt,pieza,0,4.2,2.94,90
0085696608044,MORINAGA - Tofu,Silken tofu,"Meat analogues, tofu",pieza,0,1.08,0.76,54
3038351563605,FUSILLI,PASTA FUSILLI,Pasta de trigo duro,pieza,0,50.0,35.0,60
7501055317875,Fuze Tea Te Negro,Bebida sabor durazno,Bebidas azucaradas,pieza,0,12.5,8.75,85
7501052472102,SALSA CATSUP,Salsa catsup,"Puré, Kétchups, en:Groceries, Catsup",pieza,0,34.0,23.8,41
7501030486664,Tortillinas,,Panes planos,pieza,0,56.1,39.27,89
7501039120149,Nutrioli,Aceite comestible puro de soya,"Aceites de canola, Aceites de soja, fr:Aceite de soya",pieza,0,23.65,16.55,82
0034587020021,Sal Yodada Fluorurada,Sal yodada fluorurada,Sales,pieza,0,0.1,0.07,89
7501040092862,Yogurt sabor endulzado estilo griego,yoghurt Natural estilo griego,"Quesos griegos, Yogures naturales, Yogures estilo griego",pieza,0,12.0,8.4,87
7501030424536,Takis Fuego,Pequeñas tortillas de maíz enrolladas y fritas sabor chile y limón,"Papas fritas congeladas, Patatas fritas de maíz",pieza,0,5.6,3.92,49
7501086801015,Agua purificada sin sodio,Agua purificada,Aguas,pieza,0,0.02,0.01,85
7501055320639,Coca cola 600 sin azucar,Bebida sabor cola,"Bebidas de cola, Bebidas azucaradas, Refrescos",pieza,0,18.0,12.6,28
7501032398439,Yogurt,,Yaourts natures,pieza,0,90.0,63.0,40
7506105606053,Trident Menta,,Sugar-free chewing gum,pieza,0,1.8,1.26,43
0658480001279,Tostadas Horneadas,,en:Corn flatbreads,pieza,0,24.0,16.8,16
0096619267484,Agave azul orgánico,,"Mieles, Siropes de agave",pieza,0,25.0,17.5,41
7501000664221,Galletas Saladitas,,Crackers,pieza,0,46.5,32.55,70
7502252484285,Avena y Linaza,,Bebidas de avena,pieza,0,23.65,16.55,13
7501000153107,Pastel sabor chocolate relleno sabor mermelada Gansito,,"Bolleria, Galletas con tableta de chocolate con leche, Pastel de chocolate fundido",pieza,0,1.5,1.05,28
7500533001091,Agua purificada libre de sodio,,Aguas,pieza,0,6.0,4.2,46
7501000912803,Raid casa y jardín,,"Bebidas, Cafés, Cafés solubles",pieza,0,4.2,2.94,94
7501008057346,Zukaritas,,Copos de maíz tostado,pieza,0,62.0,43.4,100
5014271794013,St Dalfour Mermelada de Higo,,Figs jams,pieza,0,27.6,19.32,45
7500810029787,"Thins, Cero cero",,"Sliced breads, Hamburger buns, Wheat breads, es:Pains Burger",pieza,0,25.5,17.85,39
7622210575401,Galleta Oreo Chopeo Espacial,,Galletas rellenas,pieza,0,25.0,17.5,90
7501030478409,Pan Integral 100% Con Ajonjoli,,Panes de molde integrales,pieza,0,141.75,99.22,77
0018627703396,GoLean,"Plant protein and multigrain cluster cereal with honey, almonds and flaxseeds",Breakfast cereals,pieza,0,36.4,25.48,74
0037600105002,SKIPPY CREAMY,,"Vegetable fats, fr:Pâtes à tartiner, Nut butters, Creamy peanut butters, Cremas de cacahuate",pieza,0,46.2,32.34,100
0073472001196,English Muffins,English Muffins,"English muffins, Baked goods, Grain products",pieza,0,45.4,31.78,21
0077975089156,Mini Pretzels,,Pretzel,pieza,0,22.68,15.88,84
0724836004024,Salsa de chile Habanero Rojo,,"Hot sauces, Groceries",pieza,0,25.0,17.5,100
0739907000010,Harina de maíz blanco,,Cornmeal,pieza,0,0.1,0.07,51
0786162338006,Vapor distilled water,Agua purificada,"en:fruits-based-foods, Frutas, Aguas minerales, Bebidas no azucaradas",pieza,0,0.03,0.02,21
7501000112784,Nito,Pan relleno de chocolate y con cubierta de chocolate,Snacks dulces,pieza,0,6.2,4.34,74
7501000140855,Galletas Marinela Triki Trakes con chispas de chocolate,Galletas con chispas sabor a chocolate,Galletas,pieza,0,2.04,1.43,71
7501020548495,Leche 100 sin lactosa proteína,Leche sin lactosa parcialmente descremada,Leche sin lactosa,pieza,0,26.0,18.2,16
7501032398446,Oîkos griego,,Yogures estilo griego,pieza,0,90.0,63.0,31
7501055909520,Crema Acida,CREMA,"Nata, fr:crema",pieza,0,5.0,3.5,33
8005121000405,Fusilli 40,pasta di semola di grano duro.,"Pasta secca, en:Italian pasta, es:Fusilli de trigo duro",pieza,0,12.5,8.75,25
7503013040207,saborizante cal-c-tose chocala lat,Chocolate en polvo para preparar bebidas,"Bebidas, Chocolates, Chocolates en polvo",pieza,0,40.0,28.0,95
0096619480562,Crema Organica de Cacahuate,,"Mantecas de cacahuete, fr:Pâtes à tartiner, Mantecas de frutos de cáscara, Crema-de-cacahuate",pieza,0,79.38,55.57,97
7500478000401,Quaker Oats Integral,AVENA DE GRANO ENTERO,"Copos de avena, Avena sativa, Hojuelas de avena",pieza,0,47.5,33.25,22
0025293002661,Leche Almendra,Alimento líquido con almendra,Leches de almendras,pieza,0,24.6,17.22,52
7502232251722,Claras de huevo líquidas,Claras de huevo líquida pasteurizada,"Ayudas culinarias, Huevos",pieza,0,0.1,0.07,37
